episode_id,season,episode,episode_name,user_votes,rating,unique_token_count,token_count,pct_unique_tokens,sentiment
1,1,1,Winter Is Coming,17132,8.9,800,3535,0.226,225
2,1,2,The Kingsroad,12945,8.7,1025,4367,0.235,164
3,1,3,Lord Snow,12201,8.6,1120,4621,0.242,208
4,1,4,"Cripples, Bastards, and Broken Things",11533,8.7,1335,6327,0.211,283
5,1,5,The Wolf and the Lion,12337,9.0,1329,6667,0.199,302
6,1,6,A Golden Crown,12005,9.1,1016,4518,0.225,223
7,1,7,You Win or You Die,12356,9.2,1113,4883,0.228,275
8,1,8,The Pointy End,11132,9.0,957,4127,0.232,241
9,1,9,Baelor,16048,9.5,1162,5523,0.21,261
10,1,10,Fire and Blood,14274,9.4,1050,4988,0.211,245
11,2,1,The North Remembers,11403,8.8,1279,5984,0.214,361
12,2,2,The Night Lands,10498,8.5,1284,6402,0.201,350
13,2,3,What Is Dead May Never Die,10364,8.8,1193,5226,0.228,264
14,2,4,Garden of Bones,9736,8.7,1191,5330,0.223,296
15,2,5,The Ghost of Harrenhal,9947,8.8,1385,6811,0.203,358
16,2,6,The Old Gods and the New,10685,9.0,1181,5828,0.203,323
17,2,7,A Man Without Honor,10272,8.9,1318,6640,0.198,364
18,2,8,The Prince of Winterfell,10093,8.7,1372,6746,0.203,280
19,2,9,Blackwater,19428,9.7,1058,4900,0.216,253
20,2,10,Valar Morghulis,13615,9.4,1125,5315,0.212,341
21,3,1,Valar Dohaeris,12158,8.7,1206,5488,0.22,330
22,3,2,"Dark Wings, Dark Words",10360,8.6,1303,6814,0.191,323
23,3,3,Walk of Punishment,10380,8.8,1300,6087,0.214,313
24,3,4,And Now His Watch Is Ended,15403,9.5,1302,6066,0.215,240
25,3,5,Kissed by Fire,10324,8.9,1405,7041,0.2,319
26,3,6,The Climb,10319,8.7,1198,5603,0.214,267
27,3,7,The Bear and the Maiden Fair,9980,8.6,1243,6235,0.199,371
28,3,8,Second Sons,10265,8.9,1086,5062,0.215,293
29,3,9,The Rains of Castamere,47891,9.9,1010,4500,0.224,269
30,3,10,Mhysa,12223,9.0,1286,6367,0.202,303
31,4,1,Two Swords,16268,9.1,1370,6813,0.201,312
32,4,2,The Lion and the Rose,27679,9.7,1201,5337,0.225,307
33,4,3,Breaker of Chains,12406,8.8,1342,6253,0.215,364
34,4,4,Oathkeeper,11570,8.7,1000,4472,0.224,248
35,4,5,First of His Name,10978,8.7,1119,5195,0.215,252
36,4,6,The Laws of Gods and Men,22791,9.7,1252,5382,0.233,272
37,4,7,Mockingbird,12590,9.1,1260,5822,0.216,258
38,4,8,The Mountain and the Viper,25781,9.7,1200,5277,0.227,237
39,4,9,The Watchers on the Wall,19785,9.5,770,3622,0.213,143
40,4,10,The Children,20347,9.6,972,4610,0.211,192
41,5,1,The Wars to Come,13529,8.4,1142,4914,0.232,251
42,5,2,The House of Black and White,10520,8.5,1182,5372,0.22,260
43,5,3,High Sparrow,9889,8.5,1308,6128,0.213,316
44,5,4,Sons of the Harpy,10441,8.7,1145,4755,0.241,212
45,5,5,Kill the Boy,10702,8.6,1069,4771,0.224,241
46,5,6,"Unbowed, Unbent, Unbroken",12399,7.8,1175,4944,0.238,223
47,5,7,The Gift,12504,9.0,1257,5533,0.227,246
48,5,8,Hardhome,52385,9.9,1077,5149,0.209,232
49,5,9,The Dance of Dragons,21776,9.4,1009,4136,0.244,234
50,5,10,Mother's Mercy,21728,8.8,909,3856,0.236,117
51,6,1,The Red Woman,20763,8.4,804,3094,0.26,127
52,6,2,Home,25735,9.5,956,3883,0.246,168
53,6,3,Oathbreaker,15217,8.7,942,4289,0.22,238
54,6,4,Book of the Stranger,16797,9.2,1142,5189,0.22,268
55,6,5,The Door,35366,9.8,1062,5074,0.209,275
56,6,6,Blood of My Blood,14663,8.3,1060,4502,0.235,215
57,6,7,The Broken Man,14042,8.6,1109,5176,0.214,241
58,6,8,No One,16238,8.2,1134,5139,0.221,272
59,6,9,Battle of the Bastards,114266,10.0,857,3543,0.242,186
60,6,10,The Winds of Winter,66937,10.0,1072,4811,0.223,243
