episode,unique_token_count,token_count,pct_unique_tokens
101,800,3535,0.226
102,1025,4367,0.235
103,1120,4621,0.242
104,1335,6327,0.211
105,1329,6667,0.199
106,1016,4518,0.225
107,1113,4883,0.228
108,957,4127,0.232
109,1162,5523,0.21
110,1050,4988,0.211
201,1279,5984,0.214
202,1284,6402,0.201
203,1193,5226,0.228
204,1191,5330,0.223
205,1385,6811,0.203
206,1181,5828,0.203
207,1318,6640,0.198
208,1372,6746,0.203
209,1058,4900,0.216
210,1125,5315,0.212
301,1206,5488,0.22
302,1303,6814,0.191
303,1300,6087,0.214
304,1302,6066,0.215
305,1405,7041,0.2
306,1198,5603,0.214
307,1243,6235,0.199
308,1086,5062,0.215
309,1010,4500,0.224
310,1286,6367,0.202
401,1370,6813,0.201
402,1201,5337,0.225
403,1342,6253,0.215
404,1000,4472,0.224
405,1119,5195,0.215
406,1252,5382,0.233
407,1260,5822,0.216
408,1200,5277,0.227
409,770,3622,0.213
410,972,4610,0.211
501,1142,4914,0.232
502,1182,5372,0.22
503,1308,6128,0.213
504,1145,4755,0.241
505,1069,4771,0.224
506,1175,4944,0.238
507,1257,5533,0.227
508,1077,5149,0.209
509,1009,4136,0.244
510,909,3856,0.236
601,804,3094,0.26
602,956,3883,0.246
603,942,4289,0.22
604,1142,5189,0.22
605,1062,5074,0.209
606,1060,4502,0.235
607,1109,5176,0.214
608,1134,5139,0.221
609,857,3543,0.242
610,1072,4811,0.223
